user_id,timestamp,page_url,session_id,action,device_type,duration_seconds
user_000265,2025-10-22 23:31:16.433097,/cart,session_cb763127,click,Mobile,329
user_000652,2025-10-22 23:34:50.433097,/category/beauty,session_b6f37bd4,click,Mobile,169
user_000082,2025-10-22 23:38:39.433097,/cart,session_7aa4f052,click,Mobile,295
user_000179,2025-10-22 23:40:16.433097,/,session_80e2811b,remove_from_cart,Mobile,129
user_000024,2025-10-22 23:44:47.433097,/returns,session_ad0205f5,view,Mobile,78
user_000416,2025-10-22 23:45:00.433097,/orders,session_467ba9e5,click,Mobile,542
user_000854,2025-10-22 23:46:09.433097,/faq,session_2f32751e,view,Desktop,240
user_000763,2025-10-22 23:49:16.433097,/search,session_a1861de1,view,Mobile,365
user_000429,2025-10-22 23:58:42.433097,/account,session_aaf8e1d5,view,Mobile,218
user_000389,2025-10-23 00:04:14.433097,/,session_976b1a33,add_to_cart,Desktop,507
user_000549,2025-10-23 00:13:09.433097,/faq,session_90a58dd6,view,Desktop,444
user_000988,2025-10-23 00:18:09.433097,/returns,session_8d15baef,click,Desktop,40
user_000901,2025-10-23 00:24:08.433097,/category/food,session_50805bbf,click,Desktop,295
user_000229,2025-10-23 00:26:15.433097,/contact,session_5bf86f3c,click,Tablet,478
user_000166,2025-10-23 00:38:15.433097,/returns,session_ac3cbe34,click,Mobile,239
user_000595,2025-10-23 00:42:28.433097,/category/electronics,session_00009f1e,click,Mobile,219
user_000989,2025-10-23 00:47:43.433097,/category/home,session_35102852,click,Desktop,126
user_000668,2025-10-23 00:48:06.433097,/category/electronics,session_d22e3226,view,Mobile,65
user_000370,2025-10-23 00:53:39.433097,/checkout,session_984f5a56,add_to_cart,Desktop,584
user_000469,2025-10-23 00:57:15.433097,/faq,session_2a8598d1,add_to_cart,Mobile,353
user_000989,2025-10-23 01:04:09.433097,/category/electronics,session_c376caa7,add_to_cart,Mobile,570
user_000041,2025-10-23 01:09:27.433097,/category/home,session_f43e8c48,view,Mobile,108
user_000607,2025-10-23 01:13:31.433097,/category/sports,session_7f1464b3,add_to_cart,Mobile,414
user_000612,2025-10-23 01:16:04.433097,/returns,session_7321a8b2,add_to_cart,Desktop,249
user_000714,2025-10-23 01:18:24.433097,/category/clothing,session_ab6d9aa8,click,Mobile,38
user_000619,2025-10-23 01:19:13.433097,/category/home,session_5f09058e,view,Mobile,340
user_000790,2025-10-23 01:20:59.433097,/orders,session_efa99c7e,add_to_cart,Desktop,547
user_000917,2025-10-23 01:22:22.433097,/category/sports,session_aec9c199,view,Mobile,305
user_000213,2025-10-23 01:25:48.433097,/orders,session_2003c81e,view,Desktop,241
user_000483,2025-10-23 01:36:05.433097,/,session_e09189f1,click,Mobile,165
user_000921,2025-10-23 01:37:40.433097,/category/clothing,session_b69d2f48,add_to_cart,Tablet,151
user_000611,2025-10-23 01:38:18.433097,/account,session_19a1459d,click,Mobile,137
user_000679,2025-10-23 01:45:52.433097,/category/food,session_c98cfd48,view,Mobile,528
user_000833,2025-10-23 01:53:53.433097,/account,session_0ecc9ff5,click,Mobile,515
user_000257,2025-10-23 01:54:34.433097,/cart,session_4e9dfdb6,click,Desktop,394
user_000325,2025-10-23 02:03:53.433097,/category/sports,session_b4ed4d1d,view,Desktop,86
user_000442,2025-10-23 02:11:33.433097,/category/beauty,session_8a240d57,view,Tablet,554
user_000953,2025-10-23 02:16:06.433097,/faq,session_f4d62658,click,Tablet,480
user_000562,2025-10-23 02:17:18.433097,/contact,session_6699cd99,click,Mobile,580
user_000831,2025-10-23 02:24:43.433097,/products,session_5ce195be,click,Mobile,543
user_000444,2025-10-23 02:29:15.433097,/products,session_69fe99a9,click,Mobile,531
user_000344,2025-10-23 02:40:01.433097,/faq,session_f728a97a,view,Mobile,61
user_000843,2025-10-23 02:41:09.433097,/checkout,session_49851b79,view,Desktop,372
user_000565,2025-10-23 02:48:26.433097,/checkout,session_b25b56dc,view,Desktop,599
user_000524,2025-10-23 02:52:05.433097,/category/electronics,session_db84aa96,click,Desktop,260
user_000085,2025-10-23 03:12:31.433097,/category/food,session_cc27f386,view,Mobile,449
user_000207,2025-10-23 03:19:17.433097,/contact,session_8c8a22f6,view,Mobile,317
user_000328,2025-10-23 03:30:14.433097,/,session_e7b7b4c6,view,Desktop,280
user_000297,2025-10-23 03:38:46.433097,/returns,session_53c70de6,click,Desktop,193
user_000310,2025-10-23 03:39:06.433097,/about,session_5fa72012,view,Mobile,160
user_000848,2025-10-23 03:39:06.433097,/category/electronics,session_fd8ac696,click,Mobile,451
user_000266,2025-10-23 03:40:59.433097,/category/food,session_a62989b9,click,Desktop,122
user_000539,2025-10-23 03:44:47.433097,/,session_7df45531,click,Desktop,65
user_000395,2025-10-23 03:46:41.433097,/contact,session_30370fff,click,Mobile,512
user_000654,2025-10-23 03:49:48.433097,/,session_cf9d539c,click,Desktop,209
user_000274,2025-10-23 03:52:28.433097,/cart,session_0786bad1,view,Desktop,537
user_000002,2025-10-23 03:52:29.433097,/category/beauty,session_521a21a4,view,Desktop,360
user_000736,2025-10-23 03:56:18.433097,/category/food,session_1ec88633,click,Mobile,513
user_000737,2025-10-23 04:07:46.433097,/category/clothing,session_a025e80b,view,Mobile,581
user_000402,2025-10-23 04:11:19.433097,/offers,session_a7a52a11,click,Tablet,276
user_000874,2025-10-23 04:12:55.433097,/category/electronics,session_3c5bf3a7,add_to_cart,Mobile,86
user_000807,2025-10-23 04:16:21.433097,/account,session_4eed4124,view,Desktop,494
user_000230,2025-10-23 04:19:17.433097,/contact,session_83373b02,click,Mobile,250
user_000753,2025-10-23 04:20:02.433097,/category/beauty,session_d9b00417,click,Desktop,52
user_000991,2025-10-23 04:24:05.433097,/account,session_1fa54251,view,Desktop,76
